,nombre_artista,bio,listeners,playcount,similar
0,Los Rebeldes,"Los Rebeldes is a Spanish Rock and Roll / Rockabilly band from Barcelona formed in 1979 by Carlos Segarra (vocals & guitar), Aurelio Morata (bass) & Moises Sorolla (drums). They recorded his first album in 1981, tittled ""Cerveza, chicas y... Rockabilly"" (Beers, girls and... Rockabilly). <a href=""https://www.last.fm/music/Los+Rebeldes"">Read more on Last.fm</a>",23210,160332,"['Gatos Locos', 'Loquillo y Trogloditas', 'Loquillo Y Los Intocables', 'Los Coyotes', 'Rey Lui']"
1,VINAI,"VINAI is an electronic music group formed in 2011 by Italian producers Alessandro Vinai (Brescia, 25 January 1990) and Andrea Vinai (Brescia 10 January 1994). As a duo, they have produced EDM songs. The success started with the publication of the single ""Raveology"" in January 2014 with DVBBS on Spinnin' Records.
 <a href=""https://www.last.fm/music/Vinai"">Read more on Last.fm</a>",226898,2510107,"['Klaas', 'lunax', 'Tungevaag', 'R3hab', 'Vize']"
2,Chaqueta de Chándal," <a href=""https://www.last.fm/music/Chaqueta+de+Ch%C3%A1ndal"">Read more on Last.fm</a>",2809,22931,"['Camellos', 'Pantocrator', 'Parquesvr', 'Los Estanques', 'Alavedra']"
3,Marisol,"Marisol (o Pepa Flores, su nombre real) es una gran artista del cine y la música española y aunque esté retirada desde hace muchos años eso no hace más que aumentar su popularidad, entre sus seguidores y entre los que la recuerdan en las películas de su infancia.

Inició su carrera en 1960, a los 12 años, en la película ""Un rayo de luz"", con un enorme éxito, no sólo en España sino a nivel internacional incluso en Japón. De ahí en adelante filmó alrededor de 15 películas <a href=""https://www.last.fm/music/Marisol"">Read more on Last.fm</a>",46578,292972,"['Los Secretos', 'Massiel', 'Los Bravos', 'Mocedades', 'Nino Bravo']"
4,Da Igual,"Wences Sánchez empieza a despuntar desde bien pequeño como cantante y compositor. Su aire juvenil y desenfadado, junto a un estilo muy peculiar, le dan a sus canciones un toque muy personal que lo diferencian del resto. Su proyecto musical va gestándose poco a poco hasta que, en 2005, nace DA=. 

Tras mucho trabajo y largas horas de ensayo, DA= sale al mercado de forma independiente y autoproduce su primer disco, INJUSTIFICABLE. Sin apenas promoción <a href=""https://www.last.fm/music/da+igual"">Read more on Last.fm</a>",718,8835,"['nada que decir', 'Doctor Pitangú', 'Barrio Sur', 'EXCESO', 'Lagarto Amarillo']"
5,Nada Surf,"Nada Surf is an American alternative rock group that was formed in 1992. The New York band consists of Matthew Caws (guitar, vocals), Ira Elliot (drums, vocals) and Daniel Lorca (bass, vocals). Their debut album, titled 'High/Low', came out on June 18, 1996 and featured production work from Ric Ocasek of The Cars

The band is best known for the song ""Popular"", released as a single from their aformentioned debut. The song reached #11 on the US Billboard Alternative Songs chart and propelled the album itself to #63 on the Billboard 200. <a href=""https://www.last.fm/music/Nada+Surf"">Read more on Last.fm</a>",1082320,24127075,"['Rogue Wave', 'The Lemonheads', 'Superdrag', 'Buffalo Tom', 'The Long Winters']"
6,Rayo," <a href=""https://www.last.fm/music/Rayo"">Read more on Last.fm</a>",11746,59932,"['Lasitud', 'Vaya Futuro', 'Cora Yako', 'coloreSantos', 'Los Mundos']"
7,Belen Arjona,"The name of the artist is wrong - the right name is Belén Arjona

Please update your tags, using musicbrainz may help. <a href=""https://www.last.fm/music/+noredirect/Belen+Arjona"">Read more on Last.fm</a>",524,8639,[]
8,Eladio y Los Seres Queridos," <a href=""https://www.last.fm/music/Eladio+y+Los+Seres+Queridos"">Read more on Last.fm</a>",4240,59299,"['elodio y los seres queridos', 'Grises', 'Lovely Luna', 'Egon Soda', 'The New Raemon']"
9,Los Directivos," <a href=""https://www.last.fm/music/Los+Directivos"">Read more on Last.fm</a>",881,31466,"['Anntona', 'Los lagos de Hinault', 'Espanto', 'La estrella de David', 'Klaus & Kinski']"
10,The New Raemon,"The New Raemon is an indie pop band from Barcelona, Spain. The band has been active since 2008 and is fronted by the Catalan musician Ramon Rodriguez who sings and plays guitar. He is accompanied by Ricky Falkner, who plays bass, drums as well as being the backing vocals. Pablo Garrido plays electric guitar and Marc Prats plays keyboard. <a href=""https://www.last.fm/music/The+New+Raemon"">Read more on Last.fm</a>",51530,1773721,"['McEnroe', 'The New Raemon, Francisco Nixon & Ricardo Vicente', 'Francisco Nixon', 'Egon Soda', 'Manos De Topo']"
11,Duo Dinamico," <a href=""https://www.last.fm/music/+noredirect/Duo+Dinamico"">Read more on Last.fm</a>",15134,78730,[]
12,"Emilia, Pardo y Bazán"," <a href=""https://www.last.fm/music/Emilia,+Pardo+y+Baz%C3%A1n"">Read more on Last.fm</a>",980,18336,"['Alejandro Rosa', 'canciller', 'Dj Moderno', 'Señor Torrance', 'Sweet Q']"
13,Kañasur," <a href=""https://www.last.fm/music/Ka%C3%B1asur"">Read more on Last.fm</a>",172,1638,"['Cherezade', 'El Suso', 'El biri', 'María Artés Lamorena', 'Fran Ocaña']"
14,Son Del Barrio," <a href=""https://www.last.fm/music/Son+del+Barrio"">Read more on Last.fm</a>",415,1432,"['Kalita del Sur', 'Demarco Flamenco', 'Pedro El Flamenkito', 'Indara', 'María Artés']"
15,Maria Carrasco," <a href=""https://www.last.fm/music/Maria+Carrasco"">Read more on Last.fm</a>",2917,20108,"['Belén Moreno', 'Lya', 'Natalia Y Maka', 'Joana Jiménez', 'SinLache']"
16,Neleonard,"En Elefant Records creemos profundamente en NELEONARD. Creemos en las letras de Nele, en su idea fija de hacer canciones POP: grandes, llenas de detalles, con la ambición de conseguir que se te enganchen a la primera escucha y sin ningún pudor en tratar sobre el AMOR y el desencanto de las relaciones, sean del tipo que sean. Y por ello mismo, el debut discográfico de NELEONARD va a ser el primer 10” que engrose el catálogo de nuestra colección de nuevos artistas New Adventures In Pop. <a href=""https://www.last.fm/music/Neleonard"">Read more on Last.fm</a>",1914,27504,"['Sagrado Corazón de Jesús', 'Hazte Lapón', 'Rusos Blancos', 'Doble Pletina', 'El Palacio De Linares']"
17,MARÍA TOLEDO," <a href=""https://www.last.fm/music/Mar%C3%ADa+Toledo"">Read more on Last.fm</a>",847,4324,"['Kiki Morente', 'Parrita', 'Israel Fernández', 'El Pele', 'Sarayma']"
18,Ketito," <a href=""https://www.last.fm/music/Ketito"">Read more on Last.fm</a>",318,1943,"['aldeskuido', 'Natalia Y Maka', 'El Tren De Los Sueños', 'El biri', 'Los Rebujitos']"
19,El Grajo," <a href=""https://www.last.fm/music/El+Grajo"">Read more on Last.fm</a>",780,9418,[]
20,Roberto Casalino," <a href=""https://www.last.fm/music/Roberto+Casalino"">Read more on Last.fm</a>",388,8030,"['Syria', 'Romina Falconi', 'Giovanni Caccamo', 'Federica Abbate', 'Chiara Galiazzo']"
21,Luisa Lacerda," <a href=""https://www.last.fm/music/Luisa+Lacerda"">Read more on Last.fm</a>",742,6124,"['Vanessa Moreno', 'Paulo Bellinati', 'Pietá', 'Tavinho Moura', 'Goma-Laca']"
22,MINOS,"There are three artists with the name Minos

1) A South-Korean rapper

2) A power metal group from Rochester, Minnesota, USA.

3)  A hip hop artist from Warri, Delta State, Nigeria. 

4) A German drum & bass producer <a href=""https://www.last.fm/music/Minos"">Read more on Last.fm</a>",12474,90532,"['Rezilient', 'Aleyum', 'ALEXVNDER', 'Mystific', 'Reburf']"
23,Roto," It’s tempting to describe guitarist, pianist and songwriter James Rotondi--aka ROTO--as a “journeyman” musician, due to his lengthy stints with the French group Air, Mike Patton’s Mr. Bungle, jazz-hop pioneers The Grassy Knoll, and other groundbreaking bands. Still, the Brooklyn-based performer would insist that the title of his first solo album, Summer Home, aptly suggests the sense of homecoming that the record represents; a laid-back, free-spirited musical home base <a href=""https://www.last.fm/music/Roto"">Read more on Last.fm</a>",6551,25847,"['Cherry Pit', 'Trail', 'SOBA', 'Lucid Monday', 'Cozy Kev']"
24,Julio Jaramillo,"Julio Alfredo Jaramillo Laurido, also known as J.J., (born October 1, 1935 in Guayaquil, Ecuador, died February 9, 1978) was one of the greatest ""Pasillo"" performers. He was well known throughout Latin American as well as Spain, performing and recording boleros, valses, pasillos, tangos, rancheras. <a href=""https://www.last.fm/music/Julio+Jaramillo"">Read more on Last.fm</a>",159998,2577778,"['Alci Acosta', 'Los Panchos', 'José José', 'Los Tres Reyes', 'Los Tres Diamantes']"
25,Gildardo Montoya,"Un 25 de noviembre de 1976, en la calle 30 con carrera 76 del barrio Belén en Medellín, murió en un accidente de tránsito Gildardo Montoya. Jairo Paternina, quien fuera cantante de El Combo de las Estrellas, le había vendido a Gildardo una moto Honda 350 y a las 3:30 de la tarde de ese día iba acompañado de Darío Valenzuela (El brujo de la consola) cuando un carro se les atravesó, quitándole la vida a uno de los más grandes compositores que ha dado este país. Valenzuela quedó vivo para contar la historia. <a href=""https://www.last.fm/music/Gildardo+Montoya"">Read more on Last.fm</a>",8173,47100,"['Armando Hernandez', 'Pastor Lopez Y Su Combo', 'Calixto Ochoa', 'Nelson Henriquez', 'Los Warahuaco']"
26,Los Relicarios," <a href=""https://www.last.fm/music/Los+Relicarios"">Read more on Last.fm</a>",3873,20340,"['El Caballero Gaucho', 'Luis Alberto Posada', 'Darío Gómez', 'El Charrito Negro', 'Joaquin Bedoya']"
27,Luciano y Concholon," <a href=""https://www.last.fm/music/Luciano+y+Concholon"">Read more on Last.fm</a>",90,283,"['Garzón y Collazos', 'Los Tolimenses', 'Obdulio y Julián', 'Hermanos Martínez', 'Silva Y Villalba']"
28,Bowen y Villafuerte," <a href=""https://www.last.fm/music/Bowen+y+Villafuerte"">Read more on Last.fm</a>",1563,8974,"['Olimpo Cardenas', 'Tito Cortes', 'Oscar Agudelo', 'Carlos Arturo', 'Charlie Figueroa']"
29,Nechivile," <a href=""https://www.last.fm/music/Nechivile"">Read more on Last.fm</a>",6063,68403,"['Hugo Pena e Gabriel', 'Zé Henrique & Gabriel', 'Hugo Pena & Gabriel', 'marcos e fernando', 'Janaynna']"
30,Bouba Menguè," <a href=""https://www.last.fm/music/Bouba+Mengu%C3%A8"">Read more on Last.fm</a>",2,13,[]
31,Darío Gómez,"Darío de Jesús Gómez Zapata, más conocido mundialmente como Darío Gómez y por el apodo de ""El Rey del Despecho"", es un cantante y compositor de la música tradicional colombiana que nació en San Jerónimo, Antioquia, Colombia, el 6 de febrero de 1951.

Dario Gomez es uno de los artistas populares más destacados que han nacido en Colombia, comenzó a escribir versos a los 14 años y a buscar apoyo mientras trabajaba como mecánico. Su iniciación en la interpretación ocurrió con un grupo llamado Los Legendarios <a href=""https://www.last.fm/music/+noredirect/Dar%C3%ADo+G%C3%B3mez"">Read more on Last.fm</a>",12201,166681,"['Luis Alberto Posada', 'El Charrito Negro', 'Luisito Muñoz', 'Jhonny Rivera', 'Pipe Bueno']"
32,Elymar Santos," <a href=""https://www.last.fm/music/Elymar+Santos"">Read more on Last.fm</a>",4980,43296,"['Gilliard', 'Michael Sullivan', 'Eduardo Dussek', 'Waldick Soriano', 'Marcos Sabino']"
33,Surma Chanu," <a href=""https://www.last.fm/music/surma+chanu"">Read more on Last.fm</a>",242,2663,"['Aj Maisnam', 'RAJ ELANGBAM', 'Kenedy Khuman', 'Arbin Soibam', 'Pushparani Huidrom']"
34,Bhakta Prasad Barik," <a href=""https://www.last.fm/music/Bhakta+Prasad+Barik"">Read more on Last.fm</a>",1,1,[]
35,Devi,"“This stuff ought to be the new sound of the city, the new sound of the suburbs and has the snazz to be the first real rock breakout in a long time.” – Midwest Record 

""Get Free has everything a band ought to deliver: catchy, melodic songs, gorgeously soaring vocals, killer musicianship and a centerpiece that's a genuine classic…promises to captivate just as many singer/songwriter fans as headbangers. Definitely one of the year's very best. "" - Lucid Culture <a href=""https://www.last.fm/music/Devi"">Read more on Last.fm</a>",12751,62545,"['Sartek', 'Kalpana', 'Mike Metro', 'Jelle Slump', 'SvanteG']"
36,Rohit Thakor," <a href=""https://www.last.fm/music/Rohit+Thakor"">Read more on Last.fm</a>",22,27,[]
37,Mousam Gogoi," <a href=""https://www.last.fm/music/Mousam+Gogoi"">Read more on Last.fm</a>",42,445,"['Dimpy Sonowal', 'Dikshu', 'Prabin Borah', 'Deeplina Deka', 'Jackson Frost']"
38,Alok Kumar," <a href=""https://www.last.fm/music/Alok+Kumar"">Read more on Last.fm</a>",182,862,"['Khesari Lal Yadav', 'Neelkamal Singh', 'Ritesh Pandey', 'Priyanka Singh', 'Arvind Akela Kallu Ji']"
39,Celso Adolfo,"Celso Adolfo (São Domingos do Prata, Minas Gerais state, Brazil, born September 9, 1952) is a Brazilian musician, singer-songwriter.

Celso Adolfo started his career in 1983 with the release of his first album, the LP Coração Brasileiro, produced by one of the main Brazilian legendary composer and singer Milton Nascimento, who recorded ""Coração Brasileiro"" on his album Anima.  In the same year, Elba Ramalho, a northern star singer from Brazil,  made a record and a concert of great repercussion with the same “Coração Brasileiro”. <a href=""https://www.last.fm/music/Celso+Adolfo"">Read more on Last.fm</a>",2632,15032,"['Tavinho Moura', 'Vital Farias', 'Banda De Pau E Corda', 'Claudio Nucci', 'Renato Braz']"
40,Dikshu," <a href=""https://www.last.fm/music/Dikshu"">Read more on Last.fm</a>",345,3319,"['Neel Akash', 'Achurjya Borpatra', 'Simanta Shekhar', 'Subasana Dutta', 'Deeplina Deka']"
41,Renan e Rafael," <a href=""https://www.last.fm/music/Renan+e+Rafael"">Read more on Last.fm</a>",301,1728,"['Zé Henrique & Gabriel', 'Kleo Dibah', 'Fred Sunwalk', 'Francis & Felipe', 'João Carlos e Savala']"
42,Rajender Singh Kharkiya," <a href=""https://www.last.fm/music/Rajender+Singh+Kharkiya"">Read more on Last.fm</a>",133,1050,"['RP Singh', 'Bintu Pabra', 'Rajender Kharkiya', 'Khasa Aala Chahar', 'Ndee Kundu']"
43,Dreamhunter,"There are three bands that go by this name:

1) Dreamhunter is a Swedish hard rock band that has released two albums; Kingdom Come in 2000 and Bad Attitude in 2001. Both albums have received a lot of praise in the hard rock press, no doubt thanks to the catchy, hookladen songs.  
The band formed in the late seventies under the name Gain in Örebro, Sweden, and recorded three songs for the Swedish compilation album ""Alsterett"". They changed their name to Life Line and released two singles in 1986. <a href=""https://www.last.fm/music/Dreamhunter"">Read more on Last.fm</a>",4472,58915,"['Montecarlo Hotel Project', 'Stuce The Sketch', 'Aliuama', 'The Diventa Project', 'Fly 3 Project']"
44,Kaboy Kamakili," <a href=""https://www.last.fm/music/Kaboy+Kamakili"">Read more on Last.fm</a>",20,132,"['The Dogg', 'Ethnix Namibia', 'MUSHE', 'DJ Vuyo', 'Young T WokOngha']"
45,Mithu Marshal," <a href=""https://www.last.fm/music/Mithu+Marshal"">Read more on Last.fm</a>",176,691,"['Ritesh Pandey', 'Arvind Akela Kallu Ji', 'Neelkamal Singh', 'Shivani Singh', 'Samar Singh']"
46,Aakangkhya Das," <a href=""https://www.last.fm/music/Aakangkhya+Das"">Read more on Last.fm</a>",13,25,[]
47,Akshaya Mohanty,"Akshaya Mohanty was a popular singer songwriter and composer in Odia music.
He was Born at Cuttack , Orissa , India  on 12 October 1937. He had no formal training in music. Many believe that while his talent and dedication were the reasons behind his ultimate success, lack of formal training in music allowed him to experiment without being bound by the tradition.He broke the then prevalent traditional musical style in Odia musical scene and brought in fresh ideas into the scene. He claimed to have Mohd. Rafi as his early influences.  <a href=""https://www.last.fm/music/Akshaya+Mohanty"">Read more on Last.fm</a>",388,6828,"['Bhikari Bal', 'Namita Agrawal', 'Humane Sagar', 'Prashant Muduli', 'Bhikhari Bala']"
48,Domenico Modugno,"Domenico Modugno (January 9, 1928 – August 6, 1994) was an Italian singer and songwriter.

From a young age Domenico wanted to become an actor and in 1951, after his military service, he enrolled in an acting school. While still studying he had a role in a cinematographic version of Filumena Marturano by Eduardo De Filippo, and some other films.

In 1957, his song Lazzarella, sung by Aurelio Fierro, came second in the Festival della Canzone Napoletana, bringing him the first popularity. <a href=""https://www.last.fm/music/Domenico+Modugno"">Read more on Last.fm</a>",180894,1058802,"['Gino Paoli', 'Renato Carosone', 'Marino Marini', 'Tony Dallara', 'Tony Renis']"
49,Surendra Perera," <a href=""https://www.last.fm/music/Surendra+Perera"">Read more on Last.fm</a>",377,3238,"['Athma Liyanage', 'Ruwan Hettiarachchi', 'Hector Dias', 'Manjula Pushpakumara', 'Sangeeth Wijesuriya']"
50,Sangeetha Rajeev," <a href=""https://www.last.fm/music/Sangeetha+Rajeev"">Read more on Last.fm</a>",332,1267,"['All OK', 'ADHVIK', 'Vasuki Vaibhav', 'Chandan Shetty', 'Sanjith Hegde']"
51,Ajungi," <a href=""https://www.last.fm/music/Ajungi"">Read more on Last.fm</a>",66,209,"['Aasiva', 'Kelly Fraser', 'Iskwē', 'nêhiyawak', 'Verzache']"
52,Lado Madheshiya," <a href=""https://www.last.fm/music/Lado+Madheshiya"">Read more on Last.fm</a>",29,55,[]
53,BATTLE BOYS," <a href=""https://www.last.fm/music/BATTLE+BOYS"">Read more on Last.fm</a>",301,4732,[]
54,Mohini Pandey Priti," <a href=""https://www.last.fm/music/Mohini+Pandey+Priti"">Read more on Last.fm</a>",7,33,[]
55,Gopal Gurjar," <a href=""https://www.last.fm/music/Gopal+Gurjar"">Read more on Last.fm</a>",220,415,"['Vishvajeet Choudhary', 'Ajay Hooda', 'Renuka Panwar', 'Ruchika Jangid', 'Sandeep Surila']"
56,Porter Wagoner,"Porter Wayne Wagoner (August 12, 1927 – October 28, 2007) was an American country music singer. Famous for his flashy Nudie suits and blond pompadour, Wagoner introduced a young Dolly Parton to his long-running television show. Together, ""Porter and Dolly"" were a well-known duet team for many years. Parton wrote the song ""I Will Always Love You"" after Wagoner suggested she shift from story songs to focus on love songs.

His first band, The Blue Ridge Boys <a href=""https://www.last.fm/music/Porter+Wagoner"">Read more on Last.fm</a>",120371,986932,"['Porter Wagoner & Dolly Parton', 'Webb Pierce', 'The Louvin Brothers', 'Mel Tillis', 'Faron Young']"
57,Pawan Singh," <a href=""https://www.last.fm/music/Pawan+Singh"">Read more on Last.fm</a>",8908,67947,"['Khesari Lal Yadav', 'Neelkamal Singh', 'Shilpi Raj', 'Samar Singh', 'Shivani Singh']"
58,Dinesh Lal Yadav," <a href=""https://www.last.fm/music/Dinesh+Lal+Yadav"">Read more on Last.fm</a>",135,432,"['Neelkamal Singh', 'Khesari Lal Yadav', 'Shilpi Raj', 'Samar Singh', 'Ritesh Pandey']"
59,Ali Ashabi,"Ali Ashabi (Persian : علی اصحابی ) (born 1982, Daamghan) is an Iranian pop singer.

He is now living in Tehran. He became popular with his first album, Laafe Asheghi (2007).  In 2010 he relased his second album, To Rast Migi. <a href=""https://www.last.fm/music/Ali+Ashabi"">Read more on Last.fm</a>",1364,19421,"['Ali Lohrasbi', 'Hamid Askari', 'Behnam Safavi', 'Ali Abdolmaleki', 'Mehdi Moghaddam']"
60,Legendboy," <a href=""https://www.last.fm/music/Legendboy"">Read more on Last.fm</a>",1381,13219,"['Ponwp', 'VARINZ', 'first anuwat', 'UrboyTJ', 'Themoonwillalwaysbewithme']"
61,Luca Kaminski," <a href=""https://www.last.fm/music/Luca+Kaminski"">Read more on Last.fm</a>",3524,38545,"['Kidd Azzurra', 'YBRE', 'lityway', 'Sanito', 'XAM651']"
62,André Popp,"Andre Popp contributed two of the greatest albums of the space age pop era, both released here on Columbia's short-lived but remarkable ""World of Discovery"" series: ""Delirium in Hi-Fi"" and ""Popped!""

The son of a church organist, Popp studied at the St. Josephe Institute of Music and took over his father's position in 1939, when his father joined the French Army. After the war, he met Jean Broussole, a poet and lyricist, and together they moved to Paris, when they began to have success with songs such as ""Il Dansait. <a href=""https://www.last.fm/music/+noredirect/Andr%C3%A9+Popp"">Read more on Last.fm</a>",12619,100008,"['John Buzon Trio', 'Terry Snyder', 'Denny McLain', 'Leroy Holmes', 'New Classic Singers']"
63,Luciano Tajoli," <a href=""https://www.last.fm/music/Luciano+Tajoli"">Read more on Last.fm</a>",6057,22682,"['Giorgio Consolini', 'Carla Boni', ""Flo Sandon's"", 'Aurelio Fierro', 'Oscar Carboni']"
64,Locosounds," <a href=""https://www.last.fm/music/Locosounds"">Read more on Last.fm</a>",31,790,"['Ethnix Namibia', 'Young T WokOngha', 'King Elegant', 'TopCheri', 'DJ Vuyo']"
65,Narendra Kumar," <a href=""https://www.last.fm/music/Narendra+Kumar"">Read more on Last.fm</a>",44,150,"['Arabinda Muduli', 'Anasuya Nath', 'Namita Agrawal', 'Basanta Patra', 'md. aziz']"
66,The Stone Ramos," <a href=""https://www.last.fm/music/The+Stone+Ramos"">Read more on Last.fm</a>",189,1415,"['Alaídenegão', 'Casa de Caba', 'República Popular', 'Mady e seus Namorados', 'Marcia Novo']"
67,Ryan Foret And Foret Tradition," <a href=""https://www.last.fm/music/Ryan+Foret+And+Foret+Tradition"">Read more on Last.fm</a>",841,8384,"['Ross Grisham', 'Horace Trahan', 'Aaron Foret', ""Jamie Bergeron & The Kickin' Cajuns"", 'Zydecajun']"
68,Seguimos Perdiendo," <a href=""https://www.last.fm/music/seguimos+perdiendo"">Read more on Last.fm</a>",4785,238463,"['La Venganza de Punk Ramon', 'tungas', 'Clase 76', 'Embajada Boliviana', 'Taller Para Niños']"
69,Singrai Soren," <a href=""https://www.last.fm/music/Singrai+Soren"">Read more on Last.fm</a>",21,1571,[]
70,Bilici," <a href=""https://www.last.fm/music/Bilici"">Read more on Last.fm</a>",1466,25286,"['Chef Bi', 'Aspova', 'GRifoN', 'Bedo', 'Cem Solo']"
71,Raju Rawal," <a href=""https://www.last.fm/music/Raju+Rawal"">Read more on Last.fm</a>",119,324,"['Balli Mohanwadi', 'GOKUL SHARMA', 'Tulchharam Bhangawa', 'Chotu Singh Rawna', 'Sugna Bai']"
72,Briga," <a href=""https://www.last.fm/music/Briga"">Read more on Last.fm</a>",10519,119156,"['Ackeejuice Rockers', 'Due Di Picche', 'La Cricca', 'Eman', 'francesco sarcina']"
73,Pequeña Ciudad," <a href=""https://www.last.fm/music/Peque%C3%B1a+Ciudad"">Read more on Last.fm</a>",179,2277,"['Barney Gombo', 'Camiches', 'Sureste', 'tungas', 'May Sunday']"
74,Kleo Dibah," <a href=""https://www.last.fm/music/Kleo+Dibah"">Read more on Last.fm</a>",12055,66429,"['PH e Michel', 'Kleo Dibah & Rafael', 'Juan Marcus & Vinícius', 'Bruno & Denner', 'Mayke & Rodrigo']"
75,Stephan Tudu," <a href=""https://www.last.fm/music/Stephan+Tudu"">Read more on Last.fm</a>",34,173,"['Raju Soren', 'Santhali Diwana', 'Shivendra Murmu', 'Manoj Sahri', 'SONAMANI PRODUCTION']"
76,BENAJA," <a href=""https://www.last.fm/music/Benaja"">Read more on Last.fm</a>",537,4076,"['lostboyshawty', 'JoshuaForeignn', 'Psycho Maadnbad', 'Baad Jury', 'Kater Karma']"
77,Netherfriends,"Netherfriends isn’t like any other musician today. He opted, instead, to become perhaps the most prolific artist of all time, releasing over 200 albums since 2015.

Savant musician and world-renowned pothead Netherfriends (aka Shawn Rosenblatt) makes all his money from Spotify streams. He has over a hundred songs with +100,000 listens, and many with millions.

His most-viral songs include Uptown Boys, Don’t Be A Fuck Boy, Weed Queen, and I’m Having Too Much Sex Blues, among many others. <a href=""https://www.last.fm/music/Netherfriends"">Read more on Last.fm</a>",118887,1146048,"['SALES', 'Daisy the Great', 'Blood Cultures', 'Sad Night Dynamite', 'Dr. Dog']"
78,The Arizona's," <a href=""https://www.last.fm/music/The+Arizona%27s"">Read more on Last.fm</a>",136,684,"['De Vrijbuiters', ""The Rapsodie's"", 'Ammy Joldersma', 'Radi Ensemble', 'Danny Cardo']"
79,Mario Battaini," <a href=""https://www.last.fm/music/Mario+Battaini"">Read more on Last.fm</a>",3413,19372,"['Carlo Venturi', 'Castellina-Pasi', 'Jean Segurel', 'Michel Pruvot', 'Gigi Stok']"
80,Betty Curtis,"Italian singer born as Roberta Corti (1936 - 2006). She participed at the Eurovision Song Contest of 1961 and participed 6 times at the San Remo Festival were she won in 1961. She abandoned her musical carreer in 1970. <a href=""https://www.last.fm/music/Betty+Curtis"">Read more on Last.fm</a>",12417,49450,"['Cesare Andrea Bixio', 'Renato Rascel', 'Teddy Reno', 'Dori Ghezzi', 'Iva Zanicchi']"
81,Alireza Roozegar," <a href=""https://www.last.fm/music/Alireza+Roozegar"">Read more on Last.fm</a>",683,10820,"['Ali Abdolmaleki', 'Amin Habibi', 'Ali Lohrasbi', 'Amin Rostami', 'Ali Ashabi']"
82,Jose Muñoz," <a href=""https://www.last.fm/music/+noredirect/Jose+Mu%C3%B1oz"">Read more on Last.fm</a>",1473,3744,"['Joaquin Bedoya', 'El Manicomio De Vargasvil', 'Los Relicarios', 'Calixto Ochoa', 'Pastor Lopez Y Su Combo']"
83,Vijay Chauhan," <a href=""https://www.last.fm/music/Vijay+Chauhan"">Read more on Last.fm</a>",116,365,"['Shilpi Raj', 'Samar Singh', 'Neelkamal Singh', 'Pramod Premi Yadav', 'Khesari Lal Yadav']"
84,Roberto Murolo,"The son of poet Ernesto Murolo and Lia Cavalli, Roberto was born in Naples on 23 January 1912. At an early age he had already attracted attention for his big passion for music, singing and the guitar. A passion that led him to form the ""MIDA"" Quartet with which he toured all of Europe from 1939 to 1946.

Murolo became virtually a cultural ambassador of Naples to the world, and it was because of his recordings and performances that Neapolitan song was spread across five other continents. <a href=""https://www.last.fm/music/Roberto+Murolo"">Read more on Last.fm</a>",36781,316175,"['Pino Daniele', 'Claudio Villa', 'Luigi Tenco', 'Renato Carosone', 'Massimo Ranieri']"
85,خميس ناجي," <a href=""https://www.last.fm/music/%D8%AE%D9%85%D9%8A%D8%B3+%D9%86%D8%A7%D8%AC%D9%8A"">Read more on Last.fm</a>",14,23,"['Ameen Khattab', 'Oka Wi Ortega', 'Hamo Bika']"
86,Yung Muse," <a href=""https://www.last.fm/music/Yung+Muse"">Read more on Last.fm</a>",10,130,[]
87,純情のアフィリア,"Junjou no Afilia is a Japanese idol group formed in 2008. 

They were initially known as Afilia Saga East, but changed the name into just Afilia Saga in February 2013. The group's name was changed again in June 2017 after Kohime Lit Pucci, Miku Doll Charlotte and Yukafin Doll graduated from the group. 

The group's first single under the name Junjou no Afilia, ""Kono Sekai ni Mahou Nante nai yo/Hajimete no SEASON"" (この世界に魔法なんてないよ／はじめてのSEASON), was released on August 30th, 2017.  <a href=""https://www.last.fm/music/%E7%B4%94%E6%83%85%E3%81%AE%E3%82%A2%E3%83%95%E3%82%A3%E3%83%AA%E3%82%A2"">Read more on Last.fm</a>",3283,45614,"['イケてるハーツ', 'エラバレシ', 'アイドルカレッジ', 'ピュアリーモンスター', 'Luce Twinkle Wink☆']"
88,Subash Dash," <a href=""https://www.last.fm/music/Subash+Dash"">Read more on Last.fm</a>",34,210,"['Bhikari Bal', 'Bhikhari Bala', 'Namita Agrawal', 'md. aziz', 'Arabinda Muduli']"
89,Chinar Music," <a href=""https://www.last.fm/music/Chinar+Music"">Read more on Last.fm</a>",249,808,"['Yawar Abdal', 'Raiez Khan', 'ishfaq kawa', 'Tanveer Ali', 'Jaan Nissar Lone']"
90,VaVa,"There are two artists with the name Vava.
1. Mao Yanqi (Chinese: 毛衍七; born 29 October 1995), professionally known as Vava, is a Chinese rapper from Ya'an, Sichuan, China. She has been called China's Rihanna.

Vava rose to fame from her performance on the first season of the iQiyi television show The Rap of China. Her song ""My New Swag"" (我的新衣) is featured in the 2018 film Crazy Rich Asians. She is featured in ""New World"" by Krewella. <a href=""https://www.last.fm/music/Vava"">Read more on Last.fm</a>",62837,822618,"['Vinida Weng', 'PUNPEE', 'Lexie Liu', 'Karencici', 'Awich']"
